"station","date","lat","lon","NO23","uni"
"21FLMANA_WQX-336","1998-03-03",27.6474222,-82.5651611,0.056,"mg/L"
"21FLMANA_WQX-425","1998-04-06",27.5482722,-82.6607333,0.026,"mg/L"
"21FLMANA_WQX-202","1998-02-09",27.6665361,-82.5590666,0.047,"mg/L"
"21FLMANA_WQX-435","1998-10-12",27.533,-82.6668333,0.021,"mg/L"
"21FLMANA_WQX-395","1998-10-13",27.5508861,-82.5730722,0.011,"mg/L"
"21FLMANA_WQX-357","1999-10-11",27.6494777,-82.5784527,0.03,"mg/L"
"21FLHILL_WQX-023","1999-11-30",27.666,-82.599197,0.003,"mg/L"
"21FLHILL_WQX-101","1999-04-20",28.024799,-82.631599,0.007,"mg/L"
"21FLHILL_WQX-058","1999-06-08",27.9398,-82.419601,0.005,"mg/L"
"21FLHILL_WQX-101","1999-02-16",28.024799,-82.631599,0.022,"mg/L"
"21FLHILL_WQX-132","1999-06-16",27.835699,-82.346199,0.158,"mg/L"
"21FLHILL_WQX-052","1999-05-11",27.896999,-82.438202,0.021,"mg/L"
"21FLHILL_WQX-054","1999-01-12",27.9319,-82.432602,0.012,"mg/L"
"21FLHILL_WQX-109","1999-03-17",27.945999,-82.401604,0.015,"mg/L"
"21FLHILL_WQX-033","1999-01-05",27.826099,-82.567497,0.001,"mg/L"
"21FLMANA_WQX-395","1999-01-20",27.5508861,-82.5730722,0.045,"mg/L"
"21FLHILL_WQX-070","1999-05-11",27.908899,-82.463203,0.017,"mg/L"
"21FLHILL_WQX-040","1999-02-02",27.9291,-82.587303,0.012,"mg/L"
"21FLHILL_WQX-063","1999-11-02",27.9676,-82.575996,0.003,"mg/L"
"21FLHILL_WQX-103","1999-07-20",27.997601,-82.586304,0.068,"mg/L"
"21FLHILL_WQX-009","1999-03-09",27.786501,-82.4272,0.006,"mg/L"
"21FLMANA_WQX-336","1999-01-20",27.6474222,-82.5651611,0.045,"mg/L"
"21FLHILL_WQX-141","1999-10-12",28.0261,-82.5812,0.416,"mg/L"
"21FLHILL_WQX-092","1999-09-28",27.5737,-82.686798,0.004,"mg/L"
"21FLMANA_WQX-405","1999-05-17",27.5526666,-82.5706666,0.031,"mg/L"
